token_address,s01_mint_authority,s02_freeze_authority,s03_upgradeable,s04_metadata_mutable,s05_lp_lock,s06_deployer_lp,s08_top10_holders,s09_whale_dominance,s10_sybil_clusters,s11_rug_history,s12_wallet_age,s13_suspicious_tx,s14_bot_spike,s15_wash_trading,s16_insider_dump,s17_social_verify,s18_fake_engagement,label,source
1e8f6870c20af8310158b7d01e776afe2de5af31cbb3,0.1525,0.1666,0.1881,0.0476,0.058,0.0698,0.1392,0.0772,0.0,0.1065,0.0213,0.0351,0.1268,0.1582,0.1025,0.1061,0.1702,0,mock
ef11108350ce770b9c190882772e446e57c73e950956,0.9502,0.8695,0.7687,0.6083,0.7317,0.7871,0.8451,0.8058,0.7169,0.7171,0.8864,0.6409,0.8852,0.7317,0.7678,0.7961,0.7933,1,mock
a14f82d2b1d5b3a5cdb9ada2c39cbba01d5fd050aa76,0.0042,0.0,0.0482,0.0804,0.0115,0.1612,0.0869,0.1393,0.1365,0.008,0.0443,0.194,0.1097,0.0454,0.0668,0.2127,0.1274,0,mock
2b9ac27aba1849b5d08a07e5a3639f62532df81e0015,0.038,0.0,0.0302,0.0591,0.0289,0.0856,0.1421,0.0959,0.1052,0.0,0.0977,0.0,0.1199,0.1392,0.0,0.0209,0.0282,0,mock
fd4ecbc2cb74b423a02b9484cb14492ccca8c7c6914a,0.9627,0.7205,0.8135,0.6975,0.9133,0.6511,0.8275,0.882,0.7268,0.9117,0.822,0.5891,0.7279,0.7195,0.6834,0.8073,0.83,1,mock
e9f2393011681d4fbe1c8e0e48a509752e65120fb8c6,0.0,0.0639,0.2052,0.0298,0.0686,0.13,0.2777,0.0438,0.0,0.0,0.0029,0.1867,0.2105,0.0033,0.134,0.1076,0.0055,0,mock
4913e8d46acc7d9db019abbdfc5a4fe428492c78a2e5,0.0361,0.0,0.0,0.1264,0.0279,0.0497,0.2619,0.1847,0.0,0.0,0.1577,0.1824,0.1885,0.1768,0.0,0.1465,0.0,0,mock
77aebb4a121fe3741f8552dcb92a040c2903b63b444f,0.9586,0.7537,0.8191,0.6595,0.7925,0.7006,0.8843,0.8429,0.8379,0.8201,0.9566,0.5971,0.8935,0.7501,0.8882,0.8216,0.7016,1,mock
d0c5df0433c84f3a2c3609ca23aef16281f53b55f589,0.0,0.1191,0.0,0.0,0.1737,0.1202,0.19,0.1427,0.1398,0.0,0.069,0.182,0.0,0.014,0.1169,0.0931,0.1803,0,mock
d1f993c29aeab6e6445ffabea79de5cd49bda8440e11,0.1688,0.0149,0.0111,0.065,0.1047,0.1116,0.1982,0.0232,0.0763,0.1001,0.165,0.0,0.0,0.1301,0.0,0.1835,0.1519,0,mock
5a51f2d2ea73961d87cf8b18751144f8d39f09099162,0.0199,0.1577,0.056,0.0317,0.1439,0.1912,0.2911,0.2049,0.0171,0.1018,0.1271,0.0,0.212,0.1254,0.162,0.1389,0.1858,0,mock
1f5510c73ab0ada2ccb3133490f7a521f4decc8c60fa,0.0288,0.0123,0.1351,0.0083,0.1224,0.1272,0.2821,0.0869,0.003,0.0,0.1194,0.0012,0.0424,0.0962,0.193,0.1647,0.0,0,mock
ea190f6ad3de156cfd0648c282d80fd73a6663e8e0d9,0.849,0.8514,0.7131,0.6862,0.7915,0.745,0.7285,0.8593,0.8539,0.8471,0.7629,0.7278,0.8208,0.6882,0.8408,0.8574,0.7831,1,mock
8e59bf1c59552b40d203ceca66515577007fe76df0d5,0.0248,0.0026,0.01,0.0,0.0069,0.0,0.3129,0.1862,0.0,0.0857,0.0859,0.0646,0.1303,0.1696,0.0058,0.0522,0.0712,0,mock
ba1b94d0bdc64e2cba892eb7cc3416af04b7f5a06a9c,0.0744,0.0,0.1397,0.1223,0.1487,0.1037,0.1541,0.2177,0.0,0.1692,0.0996,0.0748,0.1789,0.0988,0.129,0.0704,0.1955,0,mock
896ba1ca6ebd3f353a596df8a214219e091751c06f0e,0.0057,0.1687,0.1633,0.0,0.1847,0.1178,0.2716,0.0,0.0,0.0,0.0,0.0225,0.1494,0.0847,0.1988,0.2025,0.0,0,mock
e5f79c4b063b1fbfe4dff368cbb8a44590d287f5cfea,0.1213,0.0,0.0548,0.0346,0.2103,0.141,0.1547,0.1925,0.1161,0.0,0.0041,0.0423,0.0685,0.0,0.1007,0.1428,0.0,0,mock
b4b640a1b4386cb390e9bb888507cb552ae922ad6aed,1.0,0.6804,0.7878,0.7838,0.9045,0.6549,0.8072,0.7872,0.7481,0.6944,0.9693,0.7508,0.7023,0.8511,0.8953,0.8547,0.7982,1,mock
24f05f3d995766d89c154cb498fde71bb7cb918e15ba,0.8191,0.8173,0.8616,0.7857,0.8854,0.7926,0.7446,0.8283,0.6348,0.8673,0.9142,0.5821,0.8988,0.7854,0.8243,0.732,0.6906,1,mock
ebdb5f23e86208f27753debdbc06bcdb3022d8ba3bb9,0.0382,0.0,0.1015,0.0409,0.0,0.1267,0.2599,0.0715,0.109,0.1354,0.0252,0.0,0.0075,0.2001,0.0385,0.1597,0.0763,0,mock
140eff4a30fd9d36095bd0bd44215cc7c5a0f095d948,0.8485,0.9,0.7479,0.6094,0.9347,0.7385,0.8957,0.8368,0.6511,0.8437,0.9329,0.6567,0.7634,0.6456,0.8101,0.9439,0.8343,1,mock
9727432872cdc3ba86a927251a815d794815d9aaf24c,0.1189,0.055,0.0884,0.1285,0.0,0.199,0.2045,0.0749,0.1064,0.0638,0.0539,0.1114,0.0,0.0499,0.0555,0.0531,0.1586,0,mock
aecba0e8c7c28ae85fcba59a7b63574349b9a20f7ee6,0.7926,0.7792,0.8022,0.6041,0.915,0.6312,0.8121,0.953,0.7277,0.9044,0.9408,0.6946,0.7279,0.8613,0.7571,0.885,0.8479,1,mock
f9206f5540972194f41e73182481e7689740af9714ee,1.0,0.6976,0.6812,0.6436,0.954,0.8414,0.891,0.8187,0.6679,0.8801,0.8988,0.7268,0.9169,0.787,0.6819,0.9261,0.7019,1,mock
024c8fbcc3eaf48d95508f62fc104c48f0ce40c10a13,0.0,0.0,0.0475,0.1511,0.0659,0.0,0.2272,0.0528,0.1023,0.0,0.0485,0.0471,0.0474,0.1971,0.1297,0.0302,0.0071,0,mock
638eca3d5e20a7c0ba49da8234182e160aa2c0b89453,0.9261,0.7542,0.808,0.7578,0.7587,0.7999,0.8484,0.7693,0.8587,0.8055,0.9179,0.753,0.7201,0.6605,0.8675,0.7945,0.8427,1,mock
b6460278fc758ad45724fe38d917226557485a0d7e92,1.0,0.7693,0.8131,0.7177,0.8571,0.7255,0.8359,0.7899,0.6572,0.8566,0.8498,0.6729,0.8148,0.6928,0.7425,0.8371,0.8691,1,mock
0eee990c1530fd08a4e786deb22610411876887c8d06,0.8167,0.863,0.7595,0.7669,0.8573,0.6301,0.7578,0.7347,0.853,0.8909,0.9296,0.6538,0.6939,0.8407,0.9073,0.7506,0.7466,1,mock
1335a3d50832996082951c0056dc24bcbe969a81f5f2,0.9612,0.7792,0.8181,0.6958,0.8189,0.7632,0.7409,0.8036,0.7126,0.8493,0.9066,0.7852,0.8382,0.8095,0.7872,0.8978,0.6688,1,mock
f309b3735f807d63bde96af0506088e94591b2af81fa,0.91,0.6901,0.7458,0.729,0.8482,0.8665,0.8953,0.9385,0.7478,0.9163,0.9498,0.6473,0.7333,0.7684,0.693,0.9218,0.7448,1,mock
af46d33d00cb3541a826084772d9da1dffae1bee49b1,0.8409,0.6839,0.8192,0.6628,0.9059,0.7808,0.8652,0.9064,0.7098,0.6906,0.861,0.7752,0.722,0.817,0.7915,0.8969,0.7816,1,mock
7f911ed001c0b8d8b3f9921541f7d651823572822c48,0.0667,0.0384,0.1947,0.0,0.005,0.0927,0.0877,0.1454,0.0473,0.0,0.0,0.1911,0.0481,0.0359,0.1183,0.0,0.0,0,mock
47e34591685c6eedafe5fff5fdbf5a3d53284d1fe9ce,1.0,0.7458,0.7871,0.6401,0.8192,0.8469,0.7197,0.8251,0.7033,0.8479,0.7862,0.7373,0.8489,0.6303,0.7944,0.7618,0.6843,1,mock
00b429aa4f07d938f0401f281f3bae6a0d6dd7ab5ae2,0.0095,0.0993,0.0937,0.0,0.2066,0.1954,0.2177,0.0153,0.0657,0.1477,0.0361,0.1254,0.1556,0.196,0.0,0.1122,0.0339,0,mock
ff523fab11bff1b91eece8aa7f3d11253359773b1339,0.982,0.8861,0.6636,0.7093,0.7932,0.8427,0.6984,0.7481,0.6345,0.8017,0.7375,0.7197,0.7772,0.7716,0.8975,0.8624,0.7604,1,mock
f54a27d6acf6b12d59deb1e67ded2b4bcbb112d5985d,0.0189,0.0414,0.132,0.1365,0.0,0.1744,0.1599,0.0,0.0322,0.0,0.1571,0.0902,0.1707,0.169,0.0,0.1914,0.1366,0,mock
341592eac65ccc6ed99d5bdc6a1d98df64f7c6e48c83,0.0,0.0,0.1294,0.0,0.0901,0.1653,0.2104,0.0,0.1418,0.0,0.0713,0.0742,0.0784,0.0,0.104,0.0387,0.0914,0,mock
f4b78c49bac14181f9c9df7d437658e8cd0a79512a74,0.0,0.0,0.147,0.0,0.0148,0.0124,0.2596,0.1565,0.0,0.1042,0.0682,0.1228,0.2172,0.0154,0.1881,0.0825,0.162,0,mock
cb261e16d2ddbf8139272a392ab98427216713f4da73,0.8386,0.8375,0.6313,0.7602,0.9148,0.6556,0.782,0.7722,0.8599,0.8043,0.7421,0.6398,0.8836,0.7396,0.8723,0.8902,0.8671,1,mock
573d5f98cf40059814ed6283c53423bd62d6be7e31cb,0.8352,0.7558,0.8593,0.704,0.7323,0.8297,0.7396,0.7523,0.7917,0.8771,0.7482,0.8035,0.7944,0.7148,0.8946,0.7946,0.8573,1,mock
973dc46b2d14942164a09c7c4660b3d41ace67c97b09,0.8743,0.7897,0.8175,0.752,0.7559,0.7295,0.9024,0.931,0.7713,0.8653,0.8381,0.738,0.9095,0.6623,0.7997,0.8573,0.6417,1,mock
962d8d83a6a0add1d7d1ccda7f77e41d619b86ce7819,0.9904,0.7414,0.7583,0.5917,0.9687,0.7889,0.8369,0.7347,0.7955,0.78,0.8213,0.7113,0.7939,0.6668,0.8468,0.8813,0.7023,1,mock
e3f9fb9fe4cd7a35ffede4b856a293d9f4a7f2f44d41,1.0,0.7623,0.8463,0.6662,0.7752,0.8575,0.9004,0.8268,0.6848,0.8545,0.7615,0.7562,0.8215,0.6706,0.768,0.8861,0.639,1,mock
b650302414280e0f10872c0fdc68ae77ea9d721f4917,0.8816,0.9172,0.7345,0.8193,0.8805,0.8302,0.7419,0.9486,0.8494,0.6961,0.8231,0.6754,0.7583,0.6963,0.79,0.9396,0.8188,1,mock
469e95158db100f72353ae8b55af68098619ee172b93,0.0962,0.0,0.1336,0.0555,0.0789,0.1851,0.2265,0.0,0.0,0.05,0.1581,0.1105,0.1678,0.0635,0.0,0.0366,0.0,0,mock
a4b3d0ab09f5ec61876da8f8b9f1a1d0c798dc110c1f,0.0803,0.0,0.1426,0.0642,0.0508,0.0515,0.103,0.1605,0.0,0.0739,0.0883,0.0,0.0721,0.1708,0.1712,0.1286,0.0415,0,mock
4abcc63d967cf643724613e1257681c94a6d8a663689,0.8046,0.883,0.8343,0.6484,0.9131,0.6955,0.8973,0.7654,0.735,0.9071,0.7833,0.6883,0.7639,0.6364,0.6928,0.8505,0.6866,1,mock
abf3e6271930523d527065feab3d809be4b95003084e,0.8246,0.8325,0.7964,0.7349,0.97,0.7632,0.7975,0.7637,0.7055,0.7882,0.7429,0.6662,0.6823,0.6628,0.8757,0.9613,0.7513,1,mock
f585b70bc86a82cc96652ab8eaa607a41b58a54fce54,0.0,0.0533,0.0173,0.0,0.0709,0.1365,0.0927,0.1541,0.1639,0.0998,0.0,0.1061,0.1496,0.0239,0.1967,0.1716,0.0805,0,mock
b4eab727364dc101ce0309a4a1f2462d91438e3211c5,0.7941,0.9062,0.6683,0.6798,0.8718,0.8225,0.8428,0.7735,0.7211,0.7661,0.7369,0.7443,0.8812,0.8636,0.7114,0.9509,0.6571,1,mock
b9be20b372d1bacd5d930e6f3d735526813da0bff1ce,0.1503,0.136,0.0604,0.0,0.0036,0.117,0.1739,0.1656,0.1098,0.1062,0.0713,0.0068,0.061,0.1457,0.0032,0.1114,0.1215,0,mock
255e2bb478f8e04fac63481e7f97708cc3273ef3f17d,1.0,0.834,0.7477,0.6204,0.9208,0.6706,0.8529,0.8472,0.8501,0.8101,0.884,0.5941,0.6881,0.8332,0.9068,0.8904,0.8134,1,mock
e8aa9ad17a4ae622426f757f2768314d703714cc65bc,0.0975,0.0,0.088,0.064,0.0699,0.0986,0.1108,0.2064,0.0,0.1245,0.1302,0.0416,0.0806,0.1446,0.0568,0.1669,0.089,0,mock
ae7ade29f88c22c00dc233a52c8f890c445dfec8fcbf,0.8597,0.8288,0.823,0.6591,0.8103,0.8257,0.8863,0.9638,0.6627,0.757,0.9573,0.6282,0.7554,0.8615,0.9125,0.7999,0.7968,1,mock
e676793a5c663306999556317eb0cac274890b9b1dfa,0.9247,0.8897,0.6752,0.7628,0.9038,0.7641,0.7951,0.9387,0.7099,0.9097,0.7337,0.8049,0.9109,0.6582,0.9199,0.8449,0.6882,1,mock
ebcf12d29e3dda1f33becb381a2eca912df99516640a,0.0,0.0162,0.0108,0.0794,0.0,0.0212,0.1716,0.1969,0.026,0.0,0.0,0.0621,0.1467,0.1086,0.0,0.1558,0.1989,0,mock
bfca6ae6c1e8bbdb6a98414b88bad9dd448a44809f71,0.9788,0.8628,0.7923,0.6975,0.8686,0.6945,0.7794,0.8385,0.7821,0.8912,0.7523,0.7037,0.7468,0.8547,0.7686,0.9581,0.7085,1,mock
95bf887a8f662ee0fb98f9e11027ffb1556d19ef3d8e,0.1676,0.0171,0.0,0.0,0.0076,0.0297,0.1267,0.1206,0.1137,0.0,0.0,0.0075,0.0218,0.1925,0.1325,0.0616,0.0931,0,mock
7d1f193d738ca84a74c40fc19ca0d1828f5bd5d13698,0.8749,0.7042,0.7024,0.6127,0.7678,0.8577,0.87,0.9606,0.7858,0.7218,0.9625,0.7465,0.9029,0.8189,0.7336,0.8713,0.6721,1,mock
463033818b60371c184f4580e8903ea5e96c2ae55415,0.119,0.0607,0.0367,0.089,0.0,0.1834,0.2178,0.0968,0.0721,0.0411,0.0632,0.1573,0.0223,0.2094,0.0,0.0061,0.1554,0,mock
64caa2455df37553a1b123c4c8f89647b72437fbdc8b,0.793,0.8706,0.7639,0.718,0.7846,0.6921,0.7731,0.8813,0.7339,0.6841,0.8916,0.7084,0.8339,0.7784,0.8614,0.8705,0.7982,1,mock
650922aeb7dbfff7b2e29f9797d6db9a495631692771,0.065,0.0,0.0561,0.0125,0.0695,0.0896,0.119,0.0524,0.1509,0.0271,0.0499,0.0,0.0899,0.0569,0.0,0.1572,0.1941,0,mock
9919dc8a00e3e9381e90b5267a0d9fe8b7cb7b190da3,0.8249,0.7217,0.7533,0.6705,0.8328,0.7636,0.7112,0.8702,0.6912,0.7593,0.9003,0.6172,0.7169,0.7074,0.6922,0.9538,0.7777,1,mock
be0358dbd036843901e125b8f33d267db1df4ccf3240,0.9214,0.8743,0.6316,0.7734,0.8976,0.7117,0.7173,0.9597,0.7108,0.7023,0.7532,0.7834,0.8249,0.8237,0.8551,0.8587,0.8635,1,mock
b0b1dfd8fc7ed3100fc2eb9878872627028f46141fdb,0.1541,0.1446,0.204,0.0,0.167,0.0,0.1243,0.163,0.0769,0.0,0.0661,0.0154,0.0357,0.145,0.0462,0.1452,0.0744,0,mock
098f15f1c5e312a0074f54ebfe52b6e9448e5780720e,0.0493,0.1334,0.1689,0.1317,0.1086,0.029,0.0914,0.2191,0.0265,0.0,0.1083,0.0,0.1826,0.0027,0.0408,0.0,0.1523,0,mock
37fbb778160fa0cb976db47651a4472ea948d2bd5e00,0.0162,0.0,0.1319,0.1065,0.0136,0.0063,0.2527,0.1223,0.0474,0.0,0.0597,0.0339,0.1081,0.1802,0.0678,0.219,0.0,0,mock
24b68eb2420004ec2ee61f3161f1ad0ed9121a2f9d0b,0.0062,0.0573,0.014,0.0,0.0,0.0,0.2892,0.1804,0.1095,0.1523,0.0,0.1705,0.1271,0.1628,0.0233,0.0551,0.1742,0,mock
